Disease Class,Disease/Phenotype,Population Type,Type Of Association,No. of Records,Latest Year of Occurence
CANCER,lung cancer,Norwegian,Y,1,2006
CANCER,oral cancer oral submucous fibrosis,Asian,Y,1,2006
CANCER,colorectal cancer,Scottish,Y,1,2006
CARDIOVASCULAR,"stroke, ischemic",German,Y,1,2006
PSYCH,schizophrenia,European,Y,1,2006
CHEMDEPENDENCY,alcohol dependence drug dependence,European;Russian,Y,1,2006
METABOLIC,"hypothyroidism, congenital",German,Y,1,2006
PSYCH,bipolar disorder schizophrenia,Scottish,Y,1,2007
METABOLIC,"diabetes, type 2 fatty acid triglycerides",European,Y,1,2006
METABOLIC,hyperglycemia insulin,Caucasian;French,Y,1,2006
IMMUNE,asthma,Spanish;Caucasian,Y,1,2006
METABOLIC,"anthropometric parameters diabetes, type 2 insulin",Iranian;Italian,Y,1,2007
IMMUNE,"diabetes, type 1",non-Hispanic,Y,1,2006
IMMUNE,C-reactive protein glycation inflammation insulin oxidative stress prostaglandin tumor necrosis factor alpha,Korean,Y,1,2007
CARDIOVASCULAR,"heart disease, ischemic",Saudi,Y,1,2007
INFECTION,tuberculosis,Peruvian,Y,1,2006
PSYCH,depression,Spanish;European,Y,1,2006
CANCER,breast cancer,Caucasian;German,Y,1,2006
IMMUNE,"diabetes, type 1",Canadian;Caucasian,Y,1,2006
METABOLIC,"diabetes, type 2 glucose insulin",European;Indian,Y,1,2006
NEUROLOGICAL,Alzheimer's disease Parkinson's disease,Swedish;Caucasian; ,Y,1,2007
IMMUNE,lupus erythematosus,Japanese;Caucasian;Korean;Vietnamese;Asian,Y,1,2006
METABOLIC,metabolic syndrome,Indian;Mexican;Mexican American;Asian,Y,1,2006
CARDIOVASCULAR,body mass cardiovascular risk factors lipoprotein,Canadian;French;Quebec,Y,1,2007
IMMUNE,"diabetes, type 1 diabetic nephropathy",Irish,Y,1,2007
IMMUNE,eczema,"Danish, UK neonates",Y,1,2008
CARDIOVASCULAR,"heart disease, ischemic; atherosclerosis, coronary; hyperlipidemia",Chinese,Y,1,2005
METABOLIC,drug metabolism,Japanese,Y,1,2002
CARDIOVASCULAR,"atherosclerosis, coronary; metabolic syndrome",Japanese,Y,1,2004
OTHER,ACEI-related cough,Chinese,Y,1,2001
CARDIOVASCULAR,heart rate variability,African Americans,Y,1,2003
UNKNOWN,ACE activity,Chinese,Y,1,2004
NORMALVARIATION,human elite athletic performance,Australians of white European ancestry,Y,1,2003
CHEMDEPENDENCY,alcohol abuse,Chinese,Y,1,2002
METABOLIC,body mass; insulin; glucose; nervous system activity,Japanese,Y,1,2003
IMMUNE,Steroid-requiring asthma in sedentary women,U.S. (Nurses` Health Study),Y,1,2001
METABOLIC,Obesity,Mediterranean,Y,1,2001
CARDIOVASCULAR,proteinuria and cardiovascular disease,Finnish,Y,1,2003
CARDIOVASCULAR,Essential Hypertension,Tibetan,Y,1,2000
METABOLIC,albuminuria,Chinese,Y,1,1998
UNKNOWN,"retinopathy, diabetic",Chinese,Y,1,2001
CANCER,esophageal cancer,Japanese,Y,1,2003
NEUROLOGICAL,Alzheimer's Disease,Southern Brazilian,Y,1,2000
CANCER,prostate cancer,Chinese,Y,1,2004
NORMALVARIATION,butyrylcholinesterase activity,Turkish,Y,1,2004
CANCER,stomach cancer; ovarian cancer,Polish,Y,1,2003
IMMUNE,"diabetes, type 1",Irish Caucasian,Y,1,2004
IMMUNE,Inflammatory Bowel Disease,German and British,Y,1,2001
PSYCH,schizophrenia; alcoholism; bipolar disorder,Korean,Y,1,2004
CHEMDEPENDENCY,alcohol dependence,Japanese,Y,1,2004
RENAL,Renal Transplant Survival,Caucasian,Y,1,2001
INFECTION,HIV infection,Japanese,Y,1,2001
IMMUNE,atopy,Chinese,Y,1,2003
IMMUNE,multiple sclerosis,central Ohio (US) cohort,Y,1,2003
CARDIOVASCULAR,cardiovascular events in non-smokers,West of Scotaland Coronary Prevention Study,Y,1,2003
IMMUNE,atopic dermatitis,Italian,Y,1,2001
METABOLIC,"diabetes, type 2; insulin",Pima Indian,Y,1,2003
IMMUNE,"diabetes, type 1",white european,Y,1,2003
IMMUNE,Crohn's disease; ulcerative colitis,Chinese,Y,1,2004
IMMUNE,"sclerosis, systemic",Japanese,Y,1,2002
METABOLIC,atherosclerosis,Japanese,Y,1,2003
IMMUNE,systemic lupus erythematosus,Taiwanese,Y,1,2003
METABOLIC,"cholesterol, LDL; cholesterol, total",Czech,Y,1,2003
PSYCH,bipolar disorder,Spanish,Y,1,1995
PSYCH,novelty seeking,Japanese,Y,1,1997
IMMUNE,pemphigus foliaceus,Tunisian,Y,1,2002
CARDIOVASCULAR,subarachnoid hemorrhage,Dutch,Y,1,2004
CANCER,lung cancer,non-Hispanic,Y,1,2002
CARDIOVASCULAR,"thromboembolism, venous",Thai,Y,1,2004
CHEMDEPENDENCY,problem drug use,White ancestral origin,Y,1,2002
INFECTION,H. pylori infection,Japanese,Y,1,2004
VISION,"cataract, presenile",Slovene,Y,1,2003
OTHER,mandibular height,Chinese,Y,1,2005
CARDIOVASCULAR,grade II hypertension,461 grade I hypertensives,Y,1,2003
METABOLIC,"obesity; blood pressure, arterial",Caucasian,Y,1,2003
IMMUNE,Total IgE. SPT. FEV1,Caucasian,Y,1,2000
IMMUNE,asthma,African American,Y,1,2005
OTHER,hereditary hemochromatosis,russian,Y,1,2003
IMMUNE,spondyloarthropathies,Mexican,Y,1,2002
RENAL,nephropathy in other diseases,Italian,Y,1,2003
IMMUNE,"sclerosis, systemic",Caucasian women,Y,1,2004
PSYCH,eating disorders,Japanese,Y,1,2001
OTHER,weight loss,teenage girls,Y,1,2002
METABOLIC,"body mass; diabetes, type 2",Korean,Y,1,2003
IMMUNE,graft-versus-host disease,Japanese,Y,1,2002
METABOLIC,body height,Dutch,Y,1,2004
IMMUNE,asthma; dermatitis and eczema,Japanese,Y,1,2002
METABOLIC,osteoarthritis,Rotterdam study,Y,1,2004
CANCER,Metastatic Melanoma,tumor samples--primary melanomas and metastatic melanomas,Y,1,2003
INFECTION,respiratory syncytial virus disease,Korean,Y,1,2002
IMMUNE,Atopy (IgE),German,Y,1,2000
OTHER,Respiratory Syncytial Virus (RSV),United Kingdom,Y,1,2000
METABOLIC,bone density and spondylosis,Japanese postmenopausal women,Y,1,2002
METABOLIC,plasma lipid and apolipoprotein levels,normal variation Rochester Minn.,Y,1,1997
CARDIOVASCULAR,coronary heart disease,Population based cohort,Y,1,2003
METABOLIC,"adipocyte size, large subcutaneous abdominal",Indian,Y,1,2001
NEUROLOGICAL,Alzheimer's Disease,"US, Canada",Y,1,2000
OTHER,palmoplantar pustulosis,Japanese,Y,1,2003
METABOLIC,"mannose-binding lectin levels, serum",Indian,Y,1,2005
IMMUNE,"diabetes, type 1",Basques,Y,1,2002
OTHER,"preeclampsia; hypertension, pregnancy induced; eclampsia",Czech,Y,1,2001
INFECTION,hepatitis C,mixed ethnic American,Y,1,2002
CANCER,prostate cancer,families with hereditary prostate cancer and patients with non-HPC,Y,1,2003
IMMUNE,Contact Sensitisation,Caucasian,Y,1,2000
IMMUNE,tIgE,German. Swedish,Y,1,2001
METABOLIC,"retinopathy, diabetic",Indian,Y,1,2002
CANCER,esophageal squamous cell carcinoma,Chinese,Y,1,2003
VISION,optic atrophy,Japanese,Y,1,2003
VISION,"glaucoma, primary open-angle; glaucoma, normal tension",Japanese,Y,1,2004
IMMUNE,systemic lupus erythematosus,European Americans and African Americans,Y,1,2004
IMMUNE,asthma,European descent Western austrailia UK,Y,1,2003
CARDIOVASCULAR,hypertension,African Americans,Y,1,2003
METABOLIC,"diabetes, type 2; insulin",Japanese,Y,1,2003
METABOLIC,"diabetes, type 2; stroke, ischemic",Chinese,Y,1,2003
METABOLIC,metabolic syndrome,French,Y,1,2005
NEUROLOGICAL,Creutzfeldt-Jakob disease,Korean,Y,1,2005
CANCER,nevoid basal cell carcinoma syndrome associated,Japanese,Y,1,2003
IMMUNE,Rheumatoid arthritis,UK Caucasian,Y,1,2005
RENAL,diabetic nephropathy,Caucasian,Y,1,2005
METABOLIC,"diabetes, type 2; insulin; obesity",Finnish,Y,1,2004
METABOLIC,coronary artery disease,Caucasian,Y,1,2002
IMMUNE,lupus nephritis,Chinese,Y,1,2001
CANCER,esophageal cancer,South African,Y,1,2005
PSYCH,personality traits,Japanese,Y,1,1999
PSYCH,personality disorders,Chinese,Y,1,2004
CANCER,"cirrhosis, alcoholic; liver cancer",French,Y,1,2005
METABOLIC,"cholesterol; hypercholesterolemia; cholesterol, LDL; hypertriglyceridemia",Chinese,Y,1,2004
PSYCH,schizophrenia,African American,Y,1,2005
IMMUNE,"Graves' disease; thyroiditis, chronic lymphocytic",Japanese,Y,1,2004
INFECTION,tuberculosis,Tunisian,Y,1,2004
METABOLIC,Obesity- associated hypertension ???????,French Canadians,Y,1,2000
NEUROLOGICAL,migraine,Italy,Y,1,2004
PSYCH,mood disorder,Italian (Caucasian),Y,1,2001
OTHER,familial amyloid polyneuropathy,Portuguese,Y,1,2005
CANCER,renal cell carcinoma,Japanese,Y,1,2002
METABOLIC,bone mineral density,postmenopausal women,Y,1,1997
IMMUNE,"diabetes, type 1",Spanish,Y,1,2004
METABOLIC,"diabetes, type 2",U.K.,Y,1,2002
METABOLIC,osteoarthritis,Japanese,Y,1,2005
NEUROLOGICAL,Parkinson's disease,Taiwanese,Y,1,2001
PHARMACOGENOMIC,5-flurouracil toxicity,Portuguese,Y,1,2004
IMMUNE,microscopic polyangiitis,Japanese,Y,1,2003
METABOLIC,"diabetes, type 2",Jewish,Y,1,2004
CARDIOVASCULAR,coronary artery spasm,Japanese,Y,1,2004
IMMUNE,asthma; atopy,Japanese,Y,1,2004
CANCER,esophageal cancer; stomach cancer,Chinese,Y,1,2005
AGING,cognitive impairment,spanish,Y,1,2004
RENAL,diabetic nephropathy,Korean,Y,1,2004
METABOLIC,cholesterol; triglycerides,Chinese,Y,1,2005
CANCER,liver cancer,Japanese,Y,1,2004
METABOLIC,Lp(a) levels,Korean,Y,1,1998
IMMUNE,Chinese ankylosing spondylitis patients,Chinese,Y,1,1989
IMMUNE,SLE,Western India,Y,1,2003
INFECTION,H. pylori infection,African,Y,1,2003
PHARMACOGENOMIC,cyclosporine pharmacokinetics,Iranian,Y,1,2006
OTHER,"hepatitis, toxic",Korean,Y,1,2007
METABOLIC,adiponectin,non-Hispanic,Y,1,2006
METABOLIC,body mass insulin,Finnish,Y,1,2006
METABOLIC,testosterone,Caucasian,Y,1,2006
REPRODUCTION,"infertility, male",Caucasian,Y,1,2006
METABOLIC,"diabetes, type 2 glucose tolerance",Caucasian;Indian;Pima Indians,Y,1,2007
PSYCH,reasoning skills,Scottish,Y,1,2006
METABOLIC,osteoporosis,Mexican,Y,1,2006
IMMUNE,"diabetes, type 1 rheumatoid arthritis",Caucasian;New Zealand,Y,1,2007
IMMUNE,atopy,European;French,Y,1,2006
CANCER,ovarian cancer,Polish;Russian,Y,1,2006
CHEMDEPENDENCY,alcohol abuse drug dependence,African American;European,Y,1,2007
CARDIOVASCULAR,"atherosclerosis, coronary",Caucasian;Finnish,Y,1,2006
PHARMACOGENOMIC,ovarian toxicity,Indian,Y,1,2007
PHARMACOGENOMIC,asthma,Korean,Y,1,2006
IMMUNE,dermatitis and eczema,Mexican,Y,1,2006
NEUROLOGICAL,essential tremor,French,Y,1,2006
METABOLIC,"diabetes, type 2",Caucasian;European,Y,1,2006
CARDIOVASCULAR,"pulmonary arterial hypertension sclerosis, systemic",Caucasian;French,Y,1,2006
CARDIOVASCULAR,"cardiovascular disease cholesterol, LDL diabetes, type 2 triglycerides",European,Y,1,2007
RENAL,glomerulopathy lupus nephritis,Brazilian,Y,1,2006
PSYCH,schizophrenia,Japanese;Chinese;Caucasian;German,Y,1,2006
PHARMACOGENOMIC,growth response to growth hormone therapy,Caucasian;European,Y,1,2007
REPRODUCTION,preeclampsia,Caucasian,Y,1,2006
PSYCH,schizophrenia,Spanish;Caucasian,Y,1,2006
OTHER,lung function,non-Hispanic,Y,1,2006
PSYCH,schizophrenia,German,Y,1,2006
INFECTION,"hepatitis B, chronic",Thai,Y,1,2007
CANCER,oral cancer,German;Greek,Y,1,2006
PSYCH,autism,Hutterites,Y,1,2006
NEUROLOGICAL,epilepsy,German,Y,1,2006
CARDIOVASCULAR,cardiac death,Caucasian;Finnish,Y,1,2006
NEUROLOGICAL,Parkinson's disease,Singapore,Y,1,2006
NEUROLOGICAL,Parkinson's disease,Norwegian,Y,1,2006
PSYCH,psychoses,European,Y,1,2006
INFECTION,ocular Chlamydia trachomatis infection,Gambia,Y,1,2006
IMMUNE,asthma,African American;European,Y,1,2007
CARDIOVASCULAR,peripheral vascular disease,non-Hispanic,Y,1,2007
PSYCH,schizophrenia,Caucasian;Icelandic;Scottish;Asian,Y,1,2006
VISION,"glaucoma, primary open-angle",Taiwan Chinese,Y,1,2006
METABOLIC,"diabetes, type 2",African American;European,Y,1,2007
CARDIOVASCULAR,"stroke, ischemic",Icelandic,Y,1,2006
NORMALVARIATION,endurance performance,Chinese;Caucasian,Y,1,2007
IMMUNE,asthma,Caucasian;Danish,Y,1,2007
VISION,Graves ophthalmology Graves' disease,Caucasian,Y,1,2007
IMMUNE,"sclerosis, systemic",Indian,Y,1,2006
METABOLIC,"body fat body mass diabetes, type 2 lipoprotein",Turkish,Y,1,2007
PHARMACOGENOMIC,selenium,Chinese;Caucasian;Asian,Y,1,2007
PSYCH,autism,Irish,Y,1,2005
PSYCH,obsessive compulsive disorder,Spanish;Caucasian,Y,1,2006
PSYCH,schizophrenia tardive dyskinesia,Polish,Y,1,2006
METABOLIC,"diabetes, type 2",Japanese;Caucasian;Asian,Y,1,2007
METABOLIC,body mass insulin,African American;CaucEuropean,Y,1,2006
OTHER,duodenal ulcer gastric ulcer,Russian,Y,1,2007
CARDIOVASCULAR,cardiomyopathy,Portuguese,Y,1,2006
METABOLIC,leptin,Asian,Y,1,2006
IMMUNE,kawasaki disease,Caucasian,Y,1,2006
PHARMACOGENOMIC,warfarin sensitivity,Chinese;Indian;Asian,Y,1,2006
NEUROLOGICAL,Parkinson's Disease,German,Y,1,2000
CARDIOVASCULAR,"cholesterol, HDL",Japanese,Y,1,2003
METABOLIC,body mass; insulin; lipids; obesity,Japanese,Y,1,2005
OTHER,angiotensin-converting enzyme inhibitor-related cough,Chinese,Y,1,2001
CARDIOVASCULAR,"atherosclerosis, coronary",Portuguese,Y,1,2004
OTHER,BHR,UK/US Caucasian,Y,1,2002
IMMUNE,BHR,U.K.,Y,1,2000
METABOLIC,antioxidant status,Caucasians,Y,1,2001
METABOLIC,insulin response to oral glucose,Japanese,Y,1,1999
PSYCH,schizophrenia,US of northern European origin,Y,1,2004
CHEMDEPENDENCY,alcohol abuse,Japanese,Y,1,2005
METABOLIC,hypertriglyceridemia,Korean,Y,1,1998
METABOLIC,triglycerides,African Americans,Y,1,2004
CARDIOVASCULAR,coronary artery disease,Tiawanese,Y,1,1998
CARDIOVASCULAR,myocardial infarction,Caucasian,Y,1,2002
UNKNOWN,"diabetes, type 2; diabetic nephropathy",Chinese,Y,1,2003
METABOLIC,"body mass; diabetes, type 2; glucose tolerance; insulin",Danish,Y,1,2004
IMMUNE,Inflammatory Bowel Disease,European,Y,1,2002
IMMUNE,"diabetes, type 1",Bedouin Arab family,Y,1,2003
CARDIOVASCULAR,Myocardial Infarction,Caucasian (Asturias. northern Spain),Y,1,2001
IMMUNE,atopy,Czech,Y,1,2003
IMMUNE,celiac disease,Irish,Y,1,2005
CARDIOVASCULAR,Coronary Artery Disease,Males with CAD,Y,1,2003
CANCER,breast cancer,Jewish,Y,1,2005
UNKNOWN,skeletal hyperostosis,Japanese,Y,1,2005
IMMUNE,C-reactive protein,African American,Y,1,2005
IMMUNE,autoimmune hypothyroidism,UK,Y,1,2003
IMMUNE,"diabetes, type 1",UK,Y,1,2001
IMMUNE,"diabetes, type 1",Alsacian,Y,1,2002
IMMUNE,celiac disease,Dutch,Y,1,2004
UNKNOWN,"thyroiditis, chronic lymphocytic",Japanese,Y,1,2003
OTHER,Bone Size,Caucasian,Y,1,2001
IMMUNE,psoriatic arthritis,Taiwanese,Y,1,2004
CANCER,lung cancer,nonsmokers 18-84 years of age,Y,1,2005
HEMATOLOGICAL,blood and blood forming organ disorders,Japanese,Y,1,2003
IMMUNE,atopy,Tristan da Cunha,Y,1,2003
PSYCH,schizophrenia,British,Y,1,1999
PSYCH,novelty seeking,Finnish,Y,1,1999
PSYCH,schizophrenia,Triad families,Y,1,2003
METABOLIC,insulin; lipoprotein; lipids,Finnish,Y,1,2003
REPRODUCTION,"infertility, male",Swedish men,Y,1,2005
METABOLIC,increased plasma triglyceride levels,French,Y,1,2000
METABOLIC,obesity,Pima Pima Indian,Y,1,2004
IMMUNE,systemic lupus erythematosus; lupus nephritis,Japanese,Y,1,2001
IMMUNE,myasthenia gravis,Dutch,Y,1,2003
METABOLIC,"diabetes, type 2",Moscow,Y,1,2002
OTHER,fasting plasma insulin levels,Japanese,Y,1,2000
CARDIOVASCULAR,coronary artery disease,Japanese high risk men,Y,1,2003
CARDIOVASCULAR,hypertension and left ventricular mass,207,Y,1,2001
CANCER,Childhood Leukemia,Caucasian (Western Europe),Y,1,1999
IMMUNE,pemphigus,Jewish,Y,1,2003
IMMUNE,inflammatory myopathies,Japanese,Y,1,2002
INFECTION,HIV; cytomegalovirus retinitis,Swedish,Y,1,2004
OTHER,"sclerosis, systemic",Korean,Y,1,2001
INFECTION,HIV,African women,Y,1,2004
AGING,longevity,Danish,Y,1,2004
PSYCH,major depressive disorder,Japanese,Y,1,2002
METABOLIC,weight gain (antipsychotic-drug induced),Chinese Han Schizophrenics,Y,1,2002
HEMATOLOGICAL,"aplastic anemia, acquired",Caucasian,Y,1,2004
IMMUNE,IGF-I levels; IGFBP-3 levels,Non-Hispanic White Women.,Y,1,2005
IMMUNE,Total serum IgE,Caucasian,Y,1,2000
IMMUNE,rhinitis,Chinese,Y,1,2003
IMMUNE,high interleukin-1 beta plasma levels,healthy individuals,Y,1,2000
IMMUNE,Asthma. atopy,Japanese. British,Y,1,1995
IMMUNE,IL-4 production,Japanese,Y,1,2002
IMMUNE,Atopy,Hutterite,Y,1,2000
METABOLIC,glucose intolerance,Scandinavian,Y,1,1991
CARDIOVASCULAR,myocardial infarction; angina,Italian,Y,1,2001
METABOLIC,bone density,white women. Japanese women,Y,1,2002
CARDIOVASCULAR,carotid artery intima-media thickness,Heterozygotes for Familial Hypercholesterolemia,Y,1,2003
OTHER,low hepatic lipase activity,african americans,Y,1,1998
METABOLIC,insulin; obesity; leptin,Greek,Y,1,2004
IMMUNE,asthma; aspirin intolerance,Australian,Y,1,2004
METABOLIC,mannose-binding lectin levels,Australian,Y,1,2002
IMMUNE,"diabetes, type 1",eastern India,Y,1,2002
CARDIOVASCULAR,abdominal aortic aneurysm,Caucasian,Y,1,2003
VISION,glaucoma,Ghana,Y,1,2002
NEUROLOGICAL,Parkinson's Disease,Caucasian,Y,1,2000
IMMUNE,sarcoidosis,Dutch,Y,1,2003
OTHER,infantile hypertrophic pyloric stenosis.,white,Y,1,2004
NEUROLOGICAL,Alzheimer's disease; cognitive function,Chinese,Y,1,2005
METABOLIC,cortisol response to opioid blockade,normal,Y,1,2003
VISION,glaucoma,Japanese,Y,1,2003
IMMUNE,lupus erythematosus,Mexican,Y,1,2002
DEVELOPMENTAL,congenital central hypoventilation syndrome,French,Y,1,2005
REPRODUCTION,"infertility, male",French,Y,1,2005
METABOLIC,body weight,with and without diabetes from Glasgow and Dundee,Y,1,2002
METABOLIC,"diabetes, type 2; insulin; lipids; obesity",Pima Indian,Y,1,2003
CARDIOVASCULAR,"thrombosis, deep vein",Irish,Y,1,2002
METABOLIC,"bone density; height; PTH; pyridinoline, urinary",Japanese,Y,1,2002
IMMUNE,Juvenile Idiopathic arthritis,UK Caucasian,Y,1,2005
RENAL,nephropathy in diabetes mellitus,Caucasians,Y,1,2005
IMMUNE,Asthma,Dutch,Y,1,2000
CARDIOVASCULAR,hypertension; cerebral infarction,Chinese,Y,1,2001
UNKNOWN,"bronchopulmonary dysplasia; respiratory distress syndrome, neonatal",Finnish,Y,1,2004
RENAL,nephropathy in other diseases,Japanese,Y,1,2005
PSYCH,bipolar and unipolar disorder,Italian (Caucasian),Y,1,2001
PHARMACOGENOMIC,pravastatin kinetics,Chinese,Y,1,2004
IMMUNE,Tropical calcific pancreatitis,Indian,Y,1,2002
IMMUNE,eosinophilia,German,Y,1,2002
CARDIOVASCULAR,Atherothrombosis,men recruited in France and Ireland,Y,1,2003
IMMUNE,Asthma severity,U.K. Caucasian,Y,1,2001
IMMUNE,rheumatic heart disease,Chinese,Y,1,2004
IMMUNE,asthma; allergic rhinitis; atopic dermatitis,European,Y,1,2004
OTHER,synthetic hemodialysis graft failure,patients with synthetic polytetrrafluoroethylene grafts,Y,1,2003
REPRODUCTION,chorioamnionitis,"African-American, European-American",Y,1,2003
METABOLIC,"diabetes, type 2",Caucasic,Y,1,2000
PSYCH,mood disorders,Italian (Caucasian),Y,1,1999
OTHER,type I-A (tyrosinase-negative) oculocutaneous albinism,Puerto Rican,Y,1,1993
METABOLIC,"body mass; diabetes, type 2; energy expenditure",Pima Indian,Y,1,2005
IMMUNE,Lupus,Chinese,Y,1,2002
METABOLIC,bone density,Swedish,Y,1,2003
METABOLIC,"diabetes, type 2",U.K. population,Y,1,2002
METABOLIC,hypertriglyceridemia,Japanese,Y,1,1995
PSYCH,schizophrenia,NIMH Schizophrenia Genetics Initiative Denver Schizophrenia Center,Y,1,2002
METABOLIC,CYP2D6 poor metabolizer phenotype,Japanese,Y,1,1999
UNKNOWN,Still's disease,Korean,Y,1,2002
IMMUNE,pemphigus foliaceus,Brazilian,Y,1,2003
IMMUNE,Crohn's disease; ulcerative colitis,Jewish,Y,1,2002
IMMUNE,graft versus host disease,Mixed Brazilian population,Y,1,2005
METABOLIC,osteoporosis,postmenopausal Danish women,Y,1,2003
CANCER,stomach cancer,Turkish,Y,1,2002
METABOLIC,sickle cell disease,American,Y,1,2004
CARDIOVASCULAR,"atherosclerosis, coronary","African American, Caucasian",Y,1,2005
INFECTION,malaria; hypoglycemia; hyperparasitemia,African children,Y,1,2005
METABOLIC,hyperbilirubinemia,Taiwanese,Y,1,2002
IMMUNE,autoimmune pancreatitis,Japanese,Y,1,2002
IMMUNE,celiac disease,southern European,Y,1,1992
OTHER,"hearing loss/deafness; hearing loss, sensorineural nonsyndromic",Chinese,Y,1,2005
IMMUNE,ANCA positive patients,Western India,Y,1,2005
METABOLIC,alpha-2-macroglobulin concentration obesity,Thai,Y,1,2006
PHARMACOGENOMIC,ebastine metabolism,Caucasian,Y,1,2006
OTHER,pseudoxanthoma elasticum,German,Y,1,2006
IMMUNE,asthma,Australian;Caucasian,Y,1,2006
METABOLIC,obesity,Caucasian;French,Y,1,2006
METABOLIC,"diabetes, type 2",Caucasian;French,Y,1,2006
PSYCH,schizophrenia,European;Iranian,Y,1,2006
CARDIOVASCULAR,cholesterol lipoprotein retinyl palmitate triglycerides,Caucasian,Y,1,2007
CANCER,lung cancer,Caucasian;Mexican;Mexican American,Y,1,2006
PSYCH,bulimia eating disorder,Caucasian,Y,1,2006
METABOLIC,"diabetes, type 2",European;Korean;Mexican,Y,1,2006
CARDIOVASCULAR,"atherosclerosis, generalized cholesterol, HDL triglycerides",European;Italian,Y,1,2006
CARDIOVASCULAR,"heart anomalies, congenital",Caucasian,Y,1,2007
AGING,muscle testing,Caucasian,Y,1,2006
IMMUNE,"sclerosis, systemic",Iranian,Y,1,2006
CARDIOVASCULAR,hypertension vascular aging,Korean,Y,1,2007
VISION,"glaucoma, primary open-angle ocular hypertension",Spanish;French,Y,1,2006
PSYCH,schizophrenia,Chinese;European;Scottish;Asian,Y,1,2006
PSYCH,schizophrenia,Ashkenazi;Jewish,Y,1,2006
NEUROLOGICAL,dyslexia,Italian,Y,1,2007
METABOLIC,glucose insulin obesity,Caucasian;German,Y,1,2006
METABOLIC,"body mass cholesterol cholesterol, HDL diabetes, type 2 leptin",Caucasian,Y,1,2006
IMMUNE,allergic rhinitis asthma,Turkish,Y,1,2007
PSYCH,autism,Korean,Y,1,2007
PSYCH,schizophrenia,Caucasian;Portuguese,Y,1,2007
IMMUNE,dermatitis and eczema,Australian;Caucasian;Asian,Y,1,2006
RENAL,diabetic nephropathy,Caucasian;European,Y,1,2007
INFECTION,leprosy tuberculosis,Indian,Y,1,2007
OTHER,burning mouth syndrome,Brazilian,Y,1,2006
METABOLIC,obesity,African American;European,Y,1,2006
CANCER,breast cancer ovarian cancer,Polish,Y,1,2007
CARDIOVASCULAR,"blood pressure, arterial body mass glucose insulin lipids",Korean,Y,1,2006
METABOLIC,osteoarthritis,European,Y,1,2006
NEUROLOGICAL,Parkinson's disease,Jewish,Y,1,2006
IMMUNE,"Behcet's disease thromboembolism, venous",Israeli,Y,1,2007
IMMUNE,periodontitis,Turkish,Y,1,2006
IMMUNE,Crohn's disease ulcerative colitis,Canadian;EuropeanItalian,Y,1,2006
NEUROLOGICAL,Alzheimer's disease,African American;Caucasian;Asian,Y,1,2006
CARDIOVASCULAR,"angina, unstable",Brazilian,Y,1,2007
PSYCH,schizophrenia,Finnish,Y,1,2007
PSYCH,autism,Chinese;Caucasian,Y,1,2007
METABOLIC,hypercholesterolemia,European,Y,1,2006
CARDIOVASCULAR,"stroke, ischemic",Greek,Y,1,2007
IMMUNE,Crohn's disease ulcerative colitis,Ashkenazi;Jewish,Y,1,2007
CHEMDEPENDENCY,nicotine smoking behavior,European,Y,1,2006
CANCER,"skin cancer, non-melanoma",middle aged Caucasian Danes,Y,1,2007
IMMUNE,myasthenia gravis,French,Y,1,2006
METABOLIC,"diabetes, type 2 rheumatoid arthritis",Caucasian;EuropeanFrench,Y,1,2007
METABOLIC,metabolic syndrome,Chinese;European,Y,1,2007
INFECTION,lung function,Irish,Y,1,2006
NORMALVARIATION,skin color variation,Spanish;African AmericanAustralian;Caucasian,Y,1,2007
CARDIOVASCULAR,"stroke, ischemic",Scandinavian,Y,1,2006
PSYCH,schizophrenia tardive dyskinesia,Turkish,Y,1,2007
IMMUNE,"diabetes, type 1",Swedish;Caucasian,Y,1,2007
METABOLIC,"diabetes, type 2",Danish;Icelandic,Y,1,2007
METABOLIC,amyloidosis Familial Mediterranean Fever,Turkish,Y,1,2006
CARDIOVASCULAR,body mass,Caucasian,Y,1,2006
NEUROLOGICAL,ALS/amyotrophic lateral sclerosis,European;German,Y,1,2006
PHARMACOGENOMIC,warfarin sensitivity,Swedish;Caucasian,Y,1,2006
METABOLIC,medium-chain acyl-CoA dehydrogenase deficiency,Dutch,Y,1,2005
AGING,Longevity,China,Y,1,2002
OTHER,myotonic dystrophy,Japanese,Y,1,1996
OTHER,serum ACE concentration and CAD,Japanese,Y,1,1994
OTHER,ARDS,96 ARDS (Caucasian),Y,1,2002
IMMUNE,asthma,unknown,Y,1,2003
NEUROLOGICAL,Parkinson's disease,European ancestry,Y,1,2005
CARDIOVASCULAR,heart failure,Japanese,Y,1,2005
IMMUNE,Asthma smokers,Chinese,Y,1,2001
CARDIOVASCULAR,myocardial infarction,Chinese,Y,1,1998
DEVELOPMENTAL,bone size,Chinese,Y,1,2005
METABOLIC,body mass,African American,Y,1,2005
METABOLIC,triglycerides,African American,Y,1,2002
CARDIOVASCULAR,coronary heart disease,Caucasian,Y,1,2001
CARDIOVASCULAR,coronary artery disease,Japanese Low risk men,Y,1,2003
NEUROLOGICAL,Alzheimer's Disease,Polish,Y,1,2003
METABOLIC,bone mineral density (BMD) / quantitative ultra sound (QUS),Female UK Dizygotic twins,Y,1,2002
IMMUNE,asthma,African Caribbean families,Y,1,2005
